(Do Not Modify) Task,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Subject,Description,Regarding,Owner,Duration,DueDate,Mo.-Fr. after 6pm,Offsetting to Customer,Saturday,Sunday/Holiday
,,,Preparing and upgrading the management servers infrastructure to windows server 2024,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/15/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2025,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/16/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2026,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/18/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2027,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/19/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2028,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/22/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2029,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/23/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2030,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/24/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2031,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,240,5/26/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2032,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/29/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2033,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/30/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2034,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/31/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2016,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,6/1/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2017,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,6/2/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2018,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,6/6/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2019,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,6/7/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2020,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,6/8/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2021,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,6/9/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2022,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,6/16/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2023,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,6/19/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2024,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,6/20/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2025,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,6/21/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2026,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,6/22/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2027,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,6/23/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2028,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,6/26/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2029,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,6/27/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2030,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,6/28/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2031,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,6/29/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2032,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,6/30/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2033,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,7/3/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2034,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,7/4/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2035,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,7/5/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2036,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,7/6/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2037,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,7/7/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2038,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,7/10/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2039,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,7/11/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2040,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,7/12/17 1:00 PM,,,,
,,,Upgrade Hyper-V and SOFS cluster to windows server 2041,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,7/13/17 1:00 PM,,,,
,,,Preparing DC for ISO certification,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,7/14/17 1:00 PM,,,,
,,,Preparing DC for ISO certification,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,7/17/17 1:00 PM,,,,
,,,Preparing DC for ISO certification,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,7/18/17 1:00 PM,,,,
